phi,theta,xValue,yValue,zValue,FILE
11,30,832,499,832,images/155.jpg
11,30,832,832,832,images/156.jpg
11,90,832,166,832,images/157.jpg
11,90,832,499,832,images/158.jpg
11,90,832,832,832,images/159.jpg
11,150,832,166,832,images/160.jpg
11,150,832,499,832,images/161.jpg
11,150,832,832,832,images/162.jpg
22,30,166,166,166,images/163.jpg
22,30,166,499,166,images/164.jpg
22,30,166,832,166,images/165.jpg
22,90,166,166,166,images/166.jpg
22,90,166,499,166,images/167.jpg
22,90,166,832,166,images/168.jpg
22,150,166,166,166,images/169.jpg
22,150,166,499,166,images/170.jpg
22,150,166,832,166,images/171.jpg
22,30,166,166,499,images/172.jpg
22,30,166,499,499,images/173.jpg
22,30,166,832,499,images/174.jpg
22,90,166,166,499,images/175.jpg
22,90,166,499,499,images/176.jpg
22,90,166,832,499,images/177.jpg
22,150,166,166,499,images/178.jpg
22,150,166,499,499,images/179.jpg
22,150,166,832,499,images/180.jpg
22,30,166,166,832,images/181.jpg
22,30,166,499,832,images/182.jpg
22,30,166,832,832,images/183.jpg
22,90,166,166,832,images/184.jpg
22,90,166,499,832,images/185.jpg
22,90,166,832,832,images/186.jpg
22,150,166,166,832,images/187.jpg
22,150,166,499,832,images/188.jpg
22,150,166,832,832,images/189.jpg
22,30,499,166,166,images/190.jpg
22,30,499,499,166,images/191.jpg
22,30,499,832,166,images/192.jpg
22,90,499,166,166,images/193.jpg
22,90,499,499,166,images/194.jpg
22,90,499,832,166,images/195.jpg
22,150,499,166,166,images/196.jpg
22,150,499,499,166,images/197.jpg
22,150,499,832,166,images/198.jpg
22,30,499,166,499,images/199.jpg
22,30,499,499,499,images/200.jpg
22,30,499,832,499,images/201.jpg
22,90,499,166,499,images/202.jpg
22,90,499,499,499,images/203.jpg
22,90,499,832,499,images/204.jpg
22,150,499,166,499,images/205.jpg
22,150,499,499,499,images/206.jpg
22,150,499,832,499,images/207.jpg
22,30,499,166,832,images/208.jpg
22,30,499,499,832,images/209.jpg
22,30,499,832,832,images/210.jpg
22,90,499,166,832,images/211.jpg
22,90,499,499,832,images/212.jpg
22,90,499,832,832,images/213.jpg
22,150,499,166,832,images/214.jpg
22,150,499,499,832,images/215.jpg
22,150,499,832,832,images/216.jpg
22,30,832,166,166,images/217.jpg
22,30,832,499,166,images/218.jpg
22,30,832,832,166,images/219.jpg
22,90,832,166,166,images/220.jpg
22,90,832,499,166,images/221.jpg
22,90,832,832,166,images/222.jpg
22,150,832,166,166,images/223.jpg
22,150,832,499,166,images/224.jpg
22,150,832,832,166,images/225.jpg
22,30,832,166,499,images/226.jpg
22,30,832,499,499,images/227.jpg
22,30,832,832,499,images/228.jpg
22,90,832,166,499,images/229.jpg
22,90,832,499,499,images/230.jpg
22,90,832,832,499,images/231.jpg
22,150,832,166,499,images/232.jpg
22,150,832,499,499,images/233.jpg
22,150,832,832,499,images/234.jpg
22,30,832,166,832,images/235.jpg
22,30,832,499,832,images/236.jpg
22,30,832,832,832,images/237.jpg
22,90,832,166,832,images/238.jpg
22,90,832,499,832,images/239.jpg
22,90,832,832,832,images/240.jpg
